"","year","trait","GEN","value"
"1",17,"FN","L0416",254.72560106
"2",17,"FN","L0927",199.0861405
"3",17,"FN","L1275",198.37463042
"4",17,"FN","L1021",181.67123342
"5",17,"FN","L0190",240.77689637
"6",17,"FN","L1029",166.09042201
"7",17,"FN","L1072",204.01946863
"8",17,"FN","L0199",180.9935027
"9",17,"FN","L0758",134.02447987
"10",17,"FN","L0872",206.33742494
"11",17,"FN","L1338",206.79958481
"12",17,"FN","L0919",211.3120919
"13",17,"FN","L1279",143.84574569
"14",17,"FN","L0232",162.3735733
"15",17,"FN","L0459",221.77863013
"16",17,"FN","L0342",180.74431013
"17",17,"FN","L1194",188.76185255
"18",17,"FN","L0476",226.2352788
"19",17,"FN","L1216",184.59541655
"20",17,"FN","L0209",244.01213567
"21",17,"FN","L0330",250.36511426
"22",17,"FN","L1199",107.39289541
"23",17,"FN","L0446",250.16630836
"24",17,"FN","L0225",257.89170598
"25",17,"FN","L0650",194.27757289
"26",17,"FN","L1274",243.04324706
"27",17,"FN","L0959",233.31278597
"28",17,"FN","L0822",115.73143638
"29",17,"FN","L0008",251.95873373
"30",17,"FN","L1013",132.25304244
"31",17,"FN","L1265",219.81631677
"32",17,"FN","L0691",207.27098485
"33",17,"FN","L0311",198.3033755
"34",17,"FN","L0660",143.65236651
"35",17,"FN","L0290",217.21250245
"36",17,"FN","L0900",277.88915344
"37",17,"FN","L0549",209.00317886
"38",17,"FN","L0077",312.26130329
"39",17,"FN","L0434",216.99875274
"40",17,"FN","L0866",185.01848486
"41",17,"FN","L0444",112.82925855
"42",17,"FN","L0460",198.63080118
"43",17,"FN","L0319",156.32299479
"44",17,"FN","L0255",291.53265881
"45",17,"FN","L1206",209.02269803
"46",17,"FN","L0847",116.38633182
"47",17,"FN","L0687",236.76523039
"48",17,"FN","L1322",169.28150689
"49",17,"FN","L0461",212.32428855
"50",17,"FN","L1360",170.54161633
"51",17,"FN","L1042",192.98125658
"52",17,"FN","L0393",128.49590056
"53",17,"FN","L0812",169.77182311
"54",17,"FN","L0370",109.52619276
"55",17,"FN","L1104",92.0697797
"56",17,"FN","L0627",139.99772257
"57",17,"FN","L1328",253.98724586
"58",17,"FN","L0794",223.42750355
"59",17,"FN","L0164",226.33286068
"60",17,"FN","L0983",94.37483807
"61",17,"FN","L0685",209.83538336
"62",17,"FN","L0676",246.17750972
"63",17,"FN","L0541",238.57836319
"64",17,"FN","L1185",321.26907615
"65",17,"FN","L0425",217.52517237
"66",17,"FN","L1139",219.23005069
"67",17,"FN","L0657",216.51436805
"68",17,"FN","L0016",200.83045679
"69",17,"FN","L0138",175.35408047
"70",17,"FN","L0421",138.31111443
"71",17,"FN","L0503",210.79343546
"72",17,"FN","L0337",216.36914092
"73",17,"FN","L1141",239.12915032
"74",17,"FN","L0566",191.2987093
"75",17,"FN","L0578",169.21105936
"76",17,"FN","L1109",122.51783626
"77",17,"FN","L0579",237.32337807
"78",17,"FN","L1262",117.53717534
"79",17,"FN","L1193",109.17733291
"80",17,"FN","L0763",109.57457415
"81",17,"FN","L0952",159.63596092
"82",17,"FN","L0344",223.93048114
"83",17,"FN","L0323",191.23814276
"84",17,"FN","L0451",272.84476796
"85",17,"FN","L0329",161.80872476
"86",17,"FN","L0017",212.08234151
"87",17,"FN","L1350",234.65651963
"88",17,"FN","L0108",254.83497301
"89",17,"FN","L0407",252.04755958
"90",17,"FN","L0814",170.25647189
"91",17,"FN","L0620",290.54009315
"92",17,"FN","L1113",149.26246804
"93",17,"FN","L0218",184.75425124
"94",17,"FN","L0658",199.46633844
"95",17,"FN","L0221",242.01984729
"96",17,"FN","L0137",235.95875238
"97",17,"FN","L0742",224.81950467
"98",17,"FN","L0522",117.94390849
"99",17,"FN","L0662",123.46994026
"100",17,"FN","L0615",191.21944586
"101",17,"FN","L0303",268.4927229
"102",17,"FN","L0626",248.8654661
"103",17,"FN","L0551",154.1700149
"104",17,"FN","L1014",175.05162371
"105",17,"FN","L1272",159.12942433
"106",17,"FN","L1277",273.41824433
"107",17,"FN","L0121",219.9041998
"108",17,"FN","L0667",123.74272405
"109",17,"FN","L1098",144.47109308
"110",17,"FN","L1153",192.52720845
"111",17,"FN","L0686",171.26309301
"112",17,"FN","L1200",286.92161652
"113",17,"FN","L0447",178.91512346
"114",17,"FN","L1190",214.67095727
"115",17,"FN","L0721",168.27566099
"116",17,"FN","L0688",250.45530463
"117",17,"FN","L1285",245.91060621
"118",17,"FN","L0259",242.78470186
"119",17,"FN","L0038",156.89529349
"120",17,"FN","L0215",195.86081446
"121",17,"FN","L0850",250.61347543
"122",17,"FN","L1282",173.48285723
"123",17,"FN","L0753",248.63693038
"124",17,"FN","L0161",263.65996538
"125",17,"FN","L0520",246.71951919
"126",17,"FN","L1134",243.24335101
"127",17,"FN","L1230",218.7478941
"128",17,"FN","L1373",210.35328857
"129",17,"FN","L0757",205.2448895
"130",17,"FN","L1280",208.98952599
"131",17,"FN","L0533",198.76864865
"132",17,"FN","L0500",218.50154051
"133",17,"FN","L0946",255.46654272
"134",17,"FN","L0378",151.96176593
"135",17,"FN","L0800",183.0125607
"136",17,"FN","L0391",250.86969718
"137",17,"FN","L0523",265.97776609
"138",17,"FN","L0770",313.12433885
"139",17,"FN","L0064",203.15363459
"140",17,"FN","L0545",262.22292438
"141",17,"FN","L0957",210.9056274
"142",17,"FN","L0750",205.30134698
"143",17,"FN","L0177",200.88031057
"144",17,"FN","L0334",241.45871802
"145",17,"FN","L0671",194.40989988
"146",17,"FN","L0666",181.97698368
"147",17,"FN","L0821",256.47760139
"148",17,"FN","L0735",125.59765272
"149",17,"FN","L0769",215.62321513
"150",17,"FN","L0357",275.77809394
"151",17,"FN","L0474",288.87375351
"152",17,"FN","L1291",242.16281372
"153",17,"FN","L0624",250.93447862
"154",17,"FN","L1259",235.03334319
"155",17,"FN","L0412",233.29633326
"156",17,"FN","L0045",229.82795374
"157",17,"FN","L1092",297.04423481
"158",17,"FN","L0901",119.41827113
"159",17,"FN","L1180",248.83389296
"160",17,"FN","L0441",175.33056225
"161",17,"FN","L0612",208.44397347
"162",17,"FN","L1158",210.6429009
"163",17,"FN","L0597",203.30591238
"164",17,"FN","L0203",175.42873471
"165",17,"FN","L0903",114.44423242
"166",17,"FN","L0067",106.46405644
"167",17,"FN","L1050",308.73229763
"168",17,"FN","L0186",130.06713006
"169",17,"FN","L0739",247.89142307
"170",17,"FN","L0530",181.584779
"171",17,"FN","L0055",166.79775991
"172",17,"FN","L0473",107.38232373
"173",17,"FN","L0682",105.01922685
"174",17,"FN","L0809",211.13596892
"175",17,"FN","L0595",271.99991765
