"","year","trait","n","mean","sd","lines","reps","H2F","AIC"
"28",17,"FN",740,210,79.7,540,1.37,0.9785,8257.94470438527
"64",17,"FNt",740,4.64,1.24,540,1.37,0.9938,1918.40493428695
"83",17,"HD",742,145,3.98,541,1.37,0.8666,3641.3352257808
"95",17,"MD",742,182,3.6,541,1.37,0.4377,3664.51639023267
"106",17,"PH",741,89.1,9.83,540,1.37,0.9926,5091.64404063157
"118",17,"SDS",739,90.9,12.2,539,1.37,0.9749,5505.67983009544
"148",17,"SK",740,9.05,18.3,540,1.37,0.9963,5776.37219614901
"187",17,"SKt",740,1.45,1.19,540,1.37,0.7856,2071.17335892948
"202",17,"TKW",740,45.3,4.68,540,1.37,0.9908,4084.86897989918
"250",18,"FN",824,137,81.9,483,1.71,0.9863,9091.07139234626
"310",18,"FNt",824,2.94,2.19,483,1.71,0.9946,2974.58766718293
"335",18,"HD",1218,136,4.5,858,1.42,0.9198,5949.73929708794
"391",18,"HS1",830,2.91,1.94,484,1.71,0.8258,3051.02592582647
"451",18,"HS2",830,4.24,1.9,484,1.71,0.8525,3017.53073760803
"467",18,"LD1",1216,2.18,1.55,856,1.42,0.7806,3633.12131738278
"479",18,"LD2",1082,6.3,1.66,730,1.48,0.4791,3853.60657524614
"491",18,"MD",1216,182,4.42,856,1.42,0.7899,6377.00874822041
"503",18,"PH",1217,79.6,8.5,857,1.42,0.8893,7895.39060799777
"515",18,"SDS",824,90.2,14.9,483,1.71,0.9112,6116.52044383195
"561",18,"SK",825,26.4,29.6,484,1.7,0.9411,7273.55999675557
"624",18,"SKt",825,2.46,1.48,484,1.7,0.893,2380.64699795652
"646",18,"TKW",758,37.9,4.65,453,1.67,0.9471,4214.44173056385
"694",19,"FN",904,239,81.3,668,1.35,0.9601,9953.26984891679
"755",19,"FNt",904,4.91,1.06,668,1.35,0.9742,2044.22807366908
"779",19,"GC",675,30.7,2.43,668,1.01,0.279,2947.31043420024
"790",19,"HD",905,139,4.69,669,1.35,0.9922,4558.22228208603
"836",19,"HS1",904,1.7,1.22,669,1.35,0.88,2527.51436740135
"898",19,"HS2",904,3.35,1.75,669,1.35,0.8549,3351.08203201877
"919",19,"LD1",905,1.24,0.915,669,1.35,0.9245,2065.80330061846
"935",19,"LD2",905,2.31,1.33,669,1.35,0.7315,2691.78861432949
"946",19,"MD",905,178,2.07,669,1.35,0.6396,3586.07656407409
"959",19,"PC",675,13.4,1,668,1.01,0.635,1791.09874173319
"970",19,"PH",905,97.1,9.45,669,1.35,0.9917,6202.31685669241
"1019",19,"SK",905,6.92,14.4,669,1.35,0.9763,6804.31451282985
"1079",19,"SKt",905,1.19,1.19,669,1.35,0.9256,2394.58495487124
"1103",19,"TKW",781,38.8,4.86,578,1.35,0.6006,4517.98596012047
"1135",20,"FN",528,351,65.1,365,1.45,0.7084,5834.01367954928
"1171",20,"FNt",528,5.61,0.531,365,1.45,0.9732,577.977922961856
"1187",20,"GC",528,24.2,4.37,365,1.45,0.7186,2259.47960999648
"1199",20,"HD",552,134,4.74,380,1.45,0.9626,2628.17180247067
"1231",20,"HS1",486,3.69,1.84,323,1.5,0.7712,1834.64054752765
"1268",20,"HS2",486,5.86,1.97,323,1.5,0.7261,1926.88387336527
"1303",20,"HSL1",486,4.9,2.49,323,1.5,0.8456,2013.7631560614
"1339",20,"HSL2",486,7,2.2,323,1.5,0.7901,1931.79352788175
"1355",20,"MD",552,181,3.35,380,1.45,0.7822,2458.25203450651
"1367",20,"PC",528,11.1,1.83,365,1.45,0.675,1337.05137034455
"1379",20,"PH",528,81.3,11.2,365,1.45,0.8893,3488.17439254042
"1391",20,"SDS",528,65.7,13.8,365,1.45,0.8763,3882.37447387422
"1425",20,"SK",528,3.56,9.83,365,1.45,0.9474,3619.64363168215
"1455",20,"SKt",528,0.798,0.967,365,1.45,0.773,1292.46139839694
"1474",20,"TKW",528,49.4,4.47,365,1.45,0.9933,2881.50746822471
